Date,Name,Price 1,Price 2
1/1/2016,bbb,320,319
1/4/2016,bbb,320.19,312.21
1/5/2016,bbb,312.35,308.24
1/6/2016,bbb,310.2,306.8
1/7/2016,bbb,305.7,295.38
1/8/2016,bbb,295,294.86
1/11/2016,bbb,296,289.26
1/12/2016,bbb,291,281.46
1/13/2016,bbb,278.9,277.34
1/14/2016,bbb,270.1,271.28
1/15/2016,bbb,274,257.37
1/18/2016,bbb,258.1,253.44
1/19/2016,bbb,255.93,256.44
1/20/2016,bbb,252,244.42
1/21/2016,bbb,249.3,245.62
1/22/2016,bbb,250,260.47
1/25/2016,bbb,264.89,256.14
1/27/2016,bbb,256.19,260.35
1/28/2016,bbb,260.05,258.1
1/29/2016,bbb,255,254.63
2/1/2016,bbb,252.45,244.39
2/2/2016,bbb,244.6,242.47
2/3/2016,bbb,243,235.08
2/4/2016,bbb,239.8,235.45
2/5/2016,bbb,238.8,243.51
2/8/2016,bbb,245,249.45
2/9/2016,bbb,244.81,240.84
2/10/2016,bbb,238.1,228.43
2/11/2016,bbb,230,220.81
2/12/2016,bbb,225,217.56
2/15/2016,bbb,225.8,238.59
2/16/2016,bbb,241,225.26
2/17/2016,bbb,220,229.07
2/18/2016,bbb,233.8,235.27
2/19/2016,bbb,231.81,236.83
2/22/2016,bbb,230,235.01
2/23/2016,bbb,234.4,227.11
2/24/2016,bbb,225,226.34
2/25/2016,bbb,227.31,222.53
2/26/2016,bbb,223.65,225
2/29/2016,bbb,228.26,226.09
3/1/2016,bbb,228.99,232.81
3/2/2016,bbb,242.1,256.39
3/3/2016,bbb,259.95,254.86
3/4/2016,bbb,245,263.12
3/8/2016,bbb,265,257.21
3/9/2016,bbb,255,257.3
3/10/2016,bbb,260,253.92
3/11/2016,bbb,254,254.13
3/14/2016,bbb,256.58,254.5
3/15/2016,bbb,257.13,258.96
3/16/2016,bbb,259.72,261.13
3/17/2016,bbb,264.99,261.18
3/18/2016,bbb,261.13,265.79
3/21/2016,bbb,268.31,272.63
3/22/2016,bbb,274.8,272.22
3/23/2016,bbb,270,270.34
3/28/2016,bbb,271.45,266.22
3/29/2016,bbb,262,263.65
3/30/2016,bbb,266.13,272.45
3/31/2016,bbb,269.68,270.12
4/1/2016,bbb,271.95,275.75
4/4/2016,bbb,278,271.93
4/5/2016,bbb,272.38,261.87
4/6/2016,bbb,261.68,260.39
4/7/2016,bbb,260,258.12
4/8/2016,bbb,258,258.05
4/11/2016,bbb,259.02,265.4
4/12/2016,bbb,265,264.52
4/13/2016,bbb,267,271.94
4/18/2016,bbb,272,265.61
4/20/2016,bbb,266.99,268.75
4/21/2016,bbb,270,276.26
4/22/2016,bbb,273.74,282.27
4/25/2016,bbb,283.38,280.01
4/26/2016,bbb,277.9,283.42
4/27/2016,bbb,284.23,281.03
4/28/2016,bbb,282.46,273.34
4/29/2016,bbb,278,272.89
5/2/2016,bbb,273.99,268.08
5/3/2016,bbb,273.85,263.63
5/4/2016,bbb,262.81,257.26
5/5/2016,bbb,257,258
5/6/2016,bbb,259.45,259.33
5/9/2016,bbb,260,265.72
5/10/2016,bbb,266.99,268
5/11/2016,bbb,263.85,263.37
5/12/2016,bbb,266.44,265.2
5/13/2016,bbb,263,261.8
5/16/2016,bbb,256,248.58
5/17/2016,bbb,250.99,247.96
5/18/2016,bbb,246,252.65
5/19/2016,bbb,249.16,244.32
5/20/2016,bbb,243,242.8
5/23/2016,bbb,242.58,238.25
5/24/2016,bbb,237.79,237.15
5/25/2016,bbb,237,244.6
5/26/2016,bbb,244.59,252.45
5/27/2016,bbb,254.08,266.94
5/30/2016,bbb,267,265.57
5/31/2016,bbb,265.81,275.42
6/1/2016,bbb,277.89,266.08
6/2/2016,bbb,267.49,271.56
6/3/2016,bbb,282.4,267.7
6/6/2016,bbb,271,271.14
6/7/2016,bbb,275.58,280.49
6/8/2016,bbb,282.05,284.39
6/9/2016,bbb,285.83,285.99
6/10/2016,bbb,285.99,282.15
6/13/2016,bbb,276.6,276.02
6/14/2016,bbb,276,286.78
6/15/2016,bbb,287.5,291.83
6/16/2016,bbb,292.5,294.89
6/17/2016,bbb,297.7,294.5
6/20/2016,bbb,286.46,297.38
6/21/2016,bbb,297.68,295.52
6/22/2016,bbb,295.01,292.19
6/23/2016,bbb,292.96,297.38
6/24/2016,bbb,290,291.78
6/27/2016,bbb,295.99,299.67
6/29/2016,bbb,301,300.39
6/30/2016,bbb,306,304.92
7/1/2016,bbb,308.99,305.8
7/4/2016,bbb,306.5,313.29
7/5/2016,bbb,315,314.96
